1,2,3,4,class
99,52,104,177,opel
95,42,96,197,opel
89,42,89,147,van
89,35,70,138,van
90,34,66,136,saab
99,55,101,206,opel
100,47,88,190,saab
88,36,78,160,opel
100,52,109,225,opel
84,38,83,141,saab
88,35,50,121,opel
89,42,75,140,opel
83,42,71,152,bus
96,47,77,204,bus
93,35,78,162,opel
108,57,106,177,bus
85,45,70,120,bus
97,35,66,151,van
106,55,96,196,opel
88,36,53,113,van
96,48,83,177,opel
97,37,78,181,opel
101,53,103,203,opel
102,54,101,190,opel
98,50,90,192,saab
95,48,83,178,van
100,51,104,163,opel
84,40,71,131,opel
87,42,64,150,van
86,40,66,139,van
88,40,79,183,opel
100,54,102,206,saab
97,45,72,187,bus
91,39,88,189,saab
104,54,101,197,saab
80,37,57,116,opel
92,37,75,191,bus
94,37,74,169,opel
93,36,63,139,van
94,49,87,137,van
108,53,104,181,saab
89,47,80,131,van
84,44,77,150,saab
93,43,78,166,opel
92,46,79,176,opel
89,46,78,150,van
94,38,88,179,saab
98,35,70,182,bus
87,47,81,149,van
90,43,66,157,van
85,44,70,205,bus
89,40,58,137,van
103,54,107,218,opel
93,45,83,142,van
85,39,68,119,van
94,44,70,186,bus
89,36,69,162,saab
106,53,98,203,opel
107,52,101,218,opel
88,34,69,152,opel
85,33,50,104,saab
84,43,76,180,bus
99,53,105,219,saab
100,47,70,185,bus
97,55,96,170,opel
89,40,89,174,saab
95,38,66,126,van
95,46,76,162,van
98,49,84,219,bus
88,44,77,167,opel
89,42,70,148,bus
101,42,62,175,bus
108,55,105,230,opel
93,40,62,117,van
87,43,70,169,bus
107,57,102,184,bus
94,35,66,147,van
88,42,66,133,van
84,43,70,123,bus
82,37,59,134,saab
97,44,96,195,saab
84,36,75,136,saab
85,47,75,121,van
83,39,69,127,opel
83,37,49,112,van
97,47,81,183,opel
98,48,101,195,opel
115,53,100,205,saab
91,42,66,169,bus
97,45,91,161,van
105,54,100,220,saab
89,40,77,159,van
102,52,101,213,opel
96,46,88,160,van
103,46,106,209,saab
108,51,103,197,opel
86,45,71,155,bus
86,34,62,140,van
94,47,85,333,van
89,36,51,109,van
105,54,108,234,saab
86,36,66,128,opel
108,53,103,202,saab
86,47,75,165,bus
83,46,73,137,bus
108,49,109,204,saab
83,42,66,156,bus
98,46,77,199,bus
92,43,70,124,van
85,36,66,123,van
108,56,103,234,saab
107,56,105,202,opel
97,41,92,197,opel
91,36,72,162,saab
86,35,44,110,van
85,42,66,120,bus
88,39,70,166,bus
98,47,109,202,saab
85,44,66,125,bus
86,46,70,149,bus
106,52,101,213,saab
83,40,59,116,van
89,44,70,158,bus
104,53,108,206,saab
86,40,63,135,saab
97,44,95,202,saab
94,39,89,194,opel
83,40,53,114,van
86,42,65,125,bus
89,37,51,111,van
93,35,66,154,opel
104,57,103,222,opel
112,50,110,186,saab
83,45,73,161,van
100,49,80,206,bus
80,39,60,122,opel
101,56,100,215,opel
104,55,100,201,saab
94,43,64,173,bus
81,43,68,125,bus
91,46,101,199,opel
84,35,53,122,saab
90,48,86,306,van
102,51,108,193,opel
106,53,98,192,opel
100,46,85,164,van
85,43,69,141,bus
95,43,96,202,opel
84,45,66,154,bus
100,58,109,230,opel
90,43,81,231,van
85,37,80,158,opel
93,34,72,144,saab
86,39,62,129,van
88,44,70,151,bus
82,43,73,154,bus
100,51,109,224,opel
96,39,64,111,van
88,44,71,165,bus
92,40,62,144,van
88,42,64,151,van
83,36,54,119,saab
104,49,89,168,bus
92,37,80,180,saab
93,43,76,149,saab
85,45,73,167,van
98,55,108,168,opel
78,36,51,116,opel
100,43,92,197,saab
89,41,63,134,van
106,54,100,227,bus
81,43,68,148,bus
85,40,66,121,opel
77,38,63,135,opel
101,54,106,188,bus
85,45,70,130,bus
91,36,77,157,saab
93,47,84,205,bus
92,39,91,191,opel
107,55,103,167,bus
91,43,70,133,van
94,45,81,166,van
100,46,104,184,saab
103,55,103,211,opel
101,53,108,184,opel
88,35,60,143,van
88,34,58,140,van
95,42,85,174,van
107,54,108,228,saab
91,42,84,209,bus
90,41,62,147,van
104,57,103,216,opel
77,38,75,144,opel
104,53,101,199,saab
99,48,104,196,saab
85,45,71,150,van
87,38,71,123,saab
97,48,105,212,opel
91,43,72,142,saab
91,37,76,138,van
85,38,75,132,saab
98,39,68,136,van
113,57,109,194,bus
96,45,87,169,van
87,44,70,179,bus
96,50,94,215,saab
94,43,82,136,van
86,37,77,144,opel
80,38,64,130,opel
85,42,64,121,bus
95,47,88,162,van
87,44,65,124,bus
98,51,96,203,saab
89,48,85,189,saab
106,53,98,154,bus
110,53,104,223,saab
108,49,103,200,saab
89,47,84,133,van
85,40,72,139,saab
86,43,70,126,bus
85,35,47,110,van
100,46,90,172,van
81,45,68,169,bus
97,46,94,209,opel
86,36,77,165,saab
85,36,78,149,opel
88,37,63,130,saab
97,45,76,175,saab
110,56,109,199,bus
103,50,98,212,opel
102,52,98,225,opel
110,54,102,201,saab
87,42,70,139,bus
94,45,85,163,van
87,45,82,164,opel
94,36,68,127,van
89,42,85,144,van
94,43,69,161,saab
102,54,100,163,opel
89,45,85,149,van
106,52,108,207,saab
85,33,40,115,saab
106,52,107,211,opel
101,56,100,168,opel
94,42,68,150,van
103,49,100,194,saab
108,54,103,212,saab
98,55,104,213,saab
105,56,98,209,opel
90,40,83,178,opel
85,39,77,151,opel
85,45,82,133,van
95,48,104,214,opel
80,34,42,110,opel
81,44,68,120,bus
109,53,109,221,saab
89,44,82,136,opel
97,49,76,203,bus
92,39,76,180,bus
96,36,74,183,bus
96,46,70,194,bus
89,46,74,135,van
96,47,103,215,opel
89,50,83,195,opel
86,39,84,149,opel
82,44,72,136,bus
94,50,84,138,van
97,43,73,173,bus
92,46,83,154,saab
92,42,75,172,opel
109,55,102,169,bus
89,47,83,169,saab
108,54,105,203,saab
81,44,72,139,bus
96,37,74,187,saab
100,44,93,193,opel
93,47,85,163,van
110,58,106,180,bus
86,38,89,176,opel
90,47,85,161,van
92,38,60,130,van
85,41,66,155,bus
109,51,100,197,opel
80,43,68,123,bus
82,40,73,141,opel
86,48,75,136,van
102,51,92,194,bus
98,55,101,228,opel
95,43,76,142,van
95,49,92,193,opel
101,55,105,182,opel
108,56,102,246,bus
89,42,80,151,saab
96,54,104,175,opel
85,40,75,137,saab
90,38,79,185,bus
95,51,96,196,opel
84,42,76,156,bus
106,57,107,235,bus
108,51,100,206,saab
90,39,89,181,saab
85,45,80,154,van
103,54,107,189,opel
102,53,101,238,bus
95,36,73,191,bus
97,50,108,211,opel
98,38,78,191,saab
86,44,77,155,opel
86,42,64,122,bus
87,44,98,211,opel
86,36,78,146,saab
100,49,96,206,opel
88,40,73,173,bus
94,48,83,162,van
90,42,63,126,bus
89,38,80,169,saab
101,56,100,204,opel
102,51,104,217,saab
87,42,76,159,bus
80,44,68,120,bus
93,47,85,161,van
86,38,76,143,van
102,54,98,177,opel
95,45,80,186,opel
105,51,105,197,saab
89,47,81,156,opel
97,42,101,186,saab
92,38,74,178,opel
88,37,57,132,saab
86,37,60,115,van
76,38,58,125,opel
89,37,54,119,saab
104,49,105,209,saab
93,44,90,166,van
89,47,81,147,van
114,57,102,181,bus
86,40,62,140,saab
85,36,51,115,van
92,36,78,165,saab
93,49,79,180,bus
86,42,65,116,bus
94,37,72,193,bus
109,55,96,191,bus
93,41,79,159,van
89,35,52,121,saab
90,48,85,157,van
109,49,109,193,saab
89,40,76,188,bus
103,41,83,194,opel
95,46,105,219,opel
85,43,66,130,bus
104,55,107,222,saab
90,48,78,134,van
95,41,82,170,van
99,54,100,199,opel
79,40,80,133,opel
92,37,86,167,saab
111,58,105,183,bus
97,37,76,169,opel
93,47,83,165,opel
110,51,104,191,saab
101,49,103,212,opel
78,43,70,147,bus
107,52,103,186,opel
85,43,64,128,bus
94,36,66,151,van
100,52,104,189,saab
90,47,73,136,van
89,43,85,160,van
106,49,106,211,saab
90,42,63,144,van
106,53,98,193,saab
86,43,68,152,bus
90,49,83,187,saab
90,39,57,114,van
104,53,108,204,saab
102,54,106,221,saab
104,52,96,188,opel
100,51,89,199,bus
109,53,103,210,saab
95,43,83,198,bus
88,41,80,147,van
86,39,58,125,van
103,54,91,179,opel
97,59,108,227,opel
84,37,53,121,van
104,55,105,216,opel
98,45,76,166,opel
99,46,105,209,opel
94,48,87,162,van
85,45,65,128,bus
106,55,98,224,opel
85,38,63,130,opel
105,51,80,207,bus
95,44,84,158,van
94,45,89,213,bus
103,48,101,204,opel
86,38,58,119,van
93,42,98,192,saab
96,52,104,222,opel
82,44,72,150,bus
82,45,68,150,bus
95,37,71,171,saab
85,42,59,132,bus
91,40,83,166,saab
87,41,73,158,bus
101,48,107,222,opel
104,52,94,208,bus
86,45,73,152,bus
88,40,69,146,opel
104,54,100,186,saab
86,41,66,129,opel
90,48,77,132,van
94,49,82,137,van
98,52,86,207,bus
106,49,96,201,opel
98,54,104,186,opel
96,40,100,178,saab
80,43,68,120,bus
90,50,90,188,saab
89,38,77,161,saab
88,38,77,156,opel
93,37,73,174,bus
97,47,87,164,van
86,45,66,126,bus
98,38,66,130,van
88,39,76,155,van
89,44,76,125,van
106,54,103,161,bus
81,47,69,146,bus
93,44,98,197,saab
91,38,76,172,opel
103,55,100,194,opel
101,55,107,200,opel
93,42,64,158,van
88,44,85,139,van
109,48,107,215,opel
107,55,103,213,saab
105,54,96,185,opel
102,54,98,201,bus
90,48,81,144,van
86,45,71,170,bus
87,41,66,140,saab
93,43,88,170,van
87,40,81,162,van
91,42,81,193,bus
85,43,66,120,bus
98,55,101,219,opel
89,40,60,131,van
109,54,103,205,saab
86,42,65,113,bus
91,45,79,176,saab
109,52,95,189,bus
91,35,66,159,opel
90,37,80,171,saab
82,44,72,118,bus
84,38,60,128,opel
